l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.00099945068359375,1,0.0030121803283691406
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.01654338836669922
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.016519784927368164
1,7,1,0.0,1,0.016659259796142578
1,8,1,0.0,1,0.007016420364379883
1,9,1,0.0,1,0.014810562133789062
1,10,1,0.0,1,0.012379169464111328
2,1,1,0.0019979476928710938,1,0.004000425338745117
2,2,1,0.0010001659393310547,1,0.004000186920166016
2,3,1,0.001999378204345703,1,0.003457784652709961
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.015479087829589844,1,0.0007786750793457031
2,7,1,0.0,1,0.014516592025756836
2,8,1,0.0018994808197021484,1,0.0
2,9,1,0.0,1,0.0412747859954834
2,10,1,0.0,1,0.024820566177368164
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.01652073860168457
3,4,1,0.001871347427368164,1,0.0029752254486083984
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.011366128921508789
3,7,1,0.002004861831665039,1,0.00722813606262207
3,8,1,0.0019998550415039062,1,0.004000663757324219
3,9,1,0.0009560585021972656,1,0.0
3,10,1,0.0,1,0.0166323184967041
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.01613020896911621
4,3,1,0.001005411148071289,1,0.004709959030151367
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.011603116989135742,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.015011072158813477,1,0.0015690326690673828
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.01677870750427246
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.015022754669189453
5,6,1,0.001619577407836914,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.015023946762084961,1,0.0016353130340576172
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.018057823181152344
6,2,1,0.00099945068359375,1,0.0039997100830078125
6,3,1,0.0008957386016845703,1,0.0
6,4,1,0.0,1,0.011801719665527344
6,5,1,0.0020296573638916016,1,0.0059773921966552734
6,6,1,0.002997875213623047,1,0.003731966018676758
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.016884326934814453
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.016761064529418945,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.016402006149291992,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.015497446060180664,1,0.006051063537597656
7,10,1,0.001007080078125,1,0.0014557838439941406
8,1,1,0.0,1,0.009235143661499023
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.016606807708740234
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.015554428100585938,1,0.0010733604431152344
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.016360044479370117
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.016902685165405273
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.020600080490112305
9,9,1,0.0010104179382324219,1,0.0029909610748291016
9,10,1,0.0009982585906982422,1,0.003999948501586914
10,1,1,0.0010006427764892578,1,0.005623817443847656
10,2,1,0.003000020980834961,1,0.0016772747039794922
10,3,1,0.0,1,0.008570432662963867
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.016720056533813477
10,7,1,0.0,1,0.0
10,8,1,0.0015556812286376953,1,0.0
10,9,1,0.0,1,0.016744136810302734
10,10,1,0.0,1,0.0
